item_id,category,title,scientific_basis,keywords,related_data_fields,warning_indicators,adaptive_actions
KNOW_6ef6c1e4,高温热浪监测,基于当日最高温的热浪实时判定,当某地当日最高气温连续 3 天及以上达到或超过 35℃时，符合我国气象学意义上的热浪基本判定标准，高温暴露风险显著升高,"符合我国气象学意义上的热浪基本判定标准, 天及以上达到或超过, 且连续出现天数, 应对措施, 启动区域高温实时监测日报制度, 类别, 高温热浪监测, 预警指标, 划定高温影响范围, Present_Tmax, 基于当日最高温的热浪实时判定, 向该区域推送基础高温防护提示, 通过, 标题, 结合, 定位区域高温集中分布特征, 35℃, 科学依据, 高温暴露风险显著升高, 当某地当日最高气温连续","Present_Tmax, lat, lon",Present_Tmax ≥35℃，且连续出现天数≥3 天；结合 lat/lon 定位区域高温集中分布特征,启动区域高温实时监测日报制度，通过 lat/lon 划定高温影响范围，向该区域推送基础高温防护提示
KNOW_0c72086f,高温热浪预测,预测最高温与热浪持续时间关联预警,Next_Tmax 持续高于 37℃时，表明高温能量累积效应明显，热浪大概率延续且强度可能升级，需提前预留防护准备时间,"调整户外作业计划, 应对措施, 且预测连续天数, 37℃, 需提前预留防护准备时间, 预测最高温与热浪持续时间关联预警, 通知相关部门提前准备降温物资, 类别, 预判重点影响区域的空间分布, 预警指标, 热浪大概率延续且强度可能升级, 通过, 标题, 表明高温能量累积效应明显, 向预判区域发布热浪预警提示, 持续高于, 高温热浪预测, 科学依据, Next_Tmax","Next_Tmax, lat, lon",Next_Tmax ≥37℃，且预测连续天数≥2 天；通过 lat/lon 预判重点影响区域的空间分布,向预判区域发布热浪预警提示，通知相关部门提前准备降温物资，调整户外作业计划
KNOW_986b3ce7,高温热浪强度分级,结合最小湿度的热浪强度评估,高温环境下，LDAPS_RHmin 越低，人体汗液蒸发散热效率越低，体感温度显著高于实际气温，热应激风险呈指数级上升,"二级, 应对措施, 40%, 较强, 39℃, 极强热浪时暂停午后高温时段户外作业, 高温环境下, 人体汗液蒸发散热效率越低, 类别, 较强热浪时增加户外补水频次, 高温热浪强度分级, 体感温度显著高于实际气温, LDAPS_RHmin, 预警指标, 极强, 开放临时降温场所, 结合最小湿度的热浪强度评估, 热应激风险呈指数级上升, 越低, Present_Tmax, 标题, 35℃, 科学依据, 30%, Next_Tmax, 一级","Present_Tmax, Next_Tmax, LDAPS_RHmin",一级（较强）：Present_Tmax≥35℃+LDAPS_RHmin≤40%；二级（极强）：Next_Tmax≥39℃+LDAPS_RHmin≤30%,较强热浪时增加户外补水频次；极强热浪时暂停午后高温时段户外作业，开放临时降温场所
KNOW_48c42f73,城市热岛协同预警,城市热岛与热浪的叠加风险预警,urban_heat_island 效应会使城市中心区域气温较郊区偏高 2-5℃，与热浪叠加后将形成极端高温核心区，热相关疾病发病率显著增加,"5℃, 效应会使城市中心区域气温较郊区偏高, 工业区, 36℃, 在城市热岛核心区增设降温喷淋设施, 应对措施, 热相关疾病发病率显著增加, 锁定城市热岛核心区域, 类别, 如市中心, 预警指标, 与热浪叠加后将形成极端高温核心区, 重点保障老弱病残群体防护, 城市热岛协同预警, 城市热岛与热浪的叠加风险预警, Present_Tmax, 标签激活, 通过, 标题, 延长公共场馆空调开放时间, 科学依据","Present_Tmax, urban_heat_island, lat, lon",urban_heat_island 标签激活 + Present_Tmax≥36℃；通过 lat/lon 锁定城市热岛核心区域（如市中心、工业区）,在城市热岛核心区增设降温喷淋设施，延长公共场馆空调开放时间，重点保障老弱病残群体防护
KNOW_c500e726,高海拔区域高温防护,高海拔地区热浪的特殊性防护,DEM（海拔）≥1500 米区域虽大气温度略低，但紫外线辐射强度随海拔升高显著增强，热浪期间强紫外线与高温叠加易引发晒伤与热射病,"同时保障饮用水供应, 热浪期间强紫外线与高温叠加易引发晒伤与热射病, 米区域虽大气温度略低, DEM, 应对措施, 类别, 32℃, 高海拔地区热浪的特殊性防护, 要求户外出行佩戴遮阳装备, 预警指标, 海拔, 高海拔区域高温防护, Present_Tmax, 降温双重提示, 向高海拔区域居民推送防晒, 定位高海拔聚居区, 但紫外线辐射强度随海拔升高显著增强, 标题, 结合, 科学依据","DEM, Present_Tmax, lat, lon",DEM≥1500 米 + Present_Tmax≥32℃；结合 lat/lon 定位高海拔聚居区,向高海拔区域居民推送防晒 + 降温双重提示，要求户外出行佩戴遮阳装备，同时保障饮用水供应
KNOW_cc3d0ebe,热浪应急响应触发,基于多指标的热浪应急响应启动阈值,Present_Tmax 反映当前高温强度，Next_Tmax 预判发展趋势，LDAPS_RHmin 评估体感风险，三者协同满足阈值时，需启动规范化应急响应,"预判发展趋势, 三者协同满足阈值时, 评估体感风险, 38℃, 应对措施, 35%, 协调医疗部门增设热射病急救通道, 反映当前高温强度, 39℃, 启动高温应急响应预案, 类别, 调度洒水车在重点路段进行降温作业, LDAPS_RHmin, 需启动规范化应急响应, 预警指标, Present_Tmax, 基于多指标的热浪应急响应启动阈值, 标签激活, 标题, 热浪应急响应触发, 科学依据, Next_Tmax","Present_Tmax, Next_Tmax, LDAPS_RHmin, heatwave",heatwave 标签激活 + Present_Tmax≥38℃+Next_Tmax≥39℃+LDAPS_RHmin≤35%,启动高温应急响应预案，协调医疗部门增设热射病急救通道，调度洒水车在重点路段进行降温作业
KNOW_b2081f00,风速调节下的热浪防护优化,利用风速数据优化热浪防护策略,LDAPS_WS（风速）≥2m/s 时，可促进空气流通，降低局部高温累积，缓解人体热应激；风速≤1m/s 时，高温环境易形成静风逆温层，热风险加剧,"LDAPS_WS, 高风险时缩小户外作业活动范围, 应对措施, 利用风速数据优化热浪防护策略, 高温环境易形成静风逆温层, 缓解人体热应激, 类别, 中等风险时可适当延长户外作业间隔时间, 预警指标, 热风险加剧, 风速, 可促进空气流通, 降低局部高温累积, 增加降温休息频次, 风速调节下的热浪防护优化, Present_Tmax, 高风险, 标题, 35℃, 科学依据, 中等风险","Present_Tmax, LDAPS_WS",Present_Tmax≥35℃+LDAPS_WS≤1m/s（高风险）；Present_Tmax≥35℃+LDAPS_WS≥2.5m/s（中等风险）,高风险时缩小户外作业活动范围，增加降温休息频次；中等风险时可适当延长户外作业间隔时间
KNOW_2d682a3d,热浪持续期健康监测,基于连续高温数据的健康风险预警,Present_Tmax 连续 5 天≥35℃时，人体热适应能力接近极限，尤其是老年人、慢性病患者等易感人群，热衰竭发病率大幅上升,"应对措施, 开通健康咨询热线, 类别, 人体热适应能力接近极限, 慢性病患者等易感人群, 预警指标, 热衰竭发病率大幅上升, 社区开展上门健康巡查, 且连续天数, 连续, 定位老年人口密集社区, Present_Tmax, 通过, 标题, 尤其是老年人, 为易感人群提供降温药品与饮用水, 养老院分布区域, 35℃, 科学依据, 热浪持续期健康监测, 基于连续高温数据的健康风险预警","Present_Tmax, lat, lon",Present_Tmax≥35℃且连续天数≥5 天；通过 lat/lon 定位老年人口密集社区、养老院分布区域,社区开展上门健康巡查，为易感人群提供降温药品与饮用水，开通健康咨询热线
KNOW_1350f7ec,热浪预测精度优化,结合经纬度的区域化热浪预测校准,不同 lat/lon 区域的地形、下垫面特征差异显著，影响高温形成与持续时间，基于经纬度细分区域可提升 Next_Tmax 预测精度,"影响高温形成与持续时间, 不同, 向各子区域推送精细化预测结果, DEM, 下垫面特征差异显著, 预测值下调, 应对措施, 结合经纬度的区域化热浪预测校准, 类别, 区域的地形, 预警指标, 热浪预测精度优化, 8℃, 划分预测子区域, 区间内, 结合下垫面类型调整预测偏差, 标题, 基于经纬度细分区域可提升, 同一, 提高基层防护决策针对性, 科学依据, 预测精度, 每增加, Next_Tmax","Next_Tmax, lat, lon, DEM",同一 DEM 区间内，lat 每增加 1°，Next_Tmax 预测值下调 0.8℃；lon 每增加 1°，结合下垫面类型调整预测偏差,按 lat/lon+DEM 划分预测子区域，向各子区域推送精细化预测结果，提高基层防护决策针对性
KNOW_125af1ae,极端高温灾害预警,40℃以上极端高温的紧急预警,Present_Tmax≥40℃时，人体体温调节功能极易失调，短时间暴露即可引发热射病等致命性疾病，属于极端高温灾害范畴,"暂停所有户外作业与大型户外活动, 标题, 发布红色高温预警, 标签激活, 类别, 人体体温调节功能极易失调, 属于极端高温灾害范畴, 40℃, 科学依据, 实时更新极端高温影响范围, 应对措施, 组织力量向受影响区域紧急调配降温设备与医疗资源, 以上极端高温的紧急预警, Present_Tmax, 极端高温灾害预警, 预警指标, 短时间暴露即可引发热射病等致命性疾病, 通过","Present_Tmax, heatwave, lat, lon",heatwave 标签激活 + Present_Tmax≥40℃；通过 lat/lon 实时更新极端高温影响范围,发布红色高温预警，暂停所有户外作业与大型户外活动，组织力量向受影响区域紧急调配降温设备与医疗资源
